team_name,region,league,country,team_type,league_location
NRG Esports,Americas,VCT Americas 2025,United States,Partner,"Los Angeles, USA"
Sentinels,Americas,VCT Americas 2025,United States,Partner,"Los Angeles, USA"
Cloud9,Americas,VCT Americas 2025,United States,Partner,"Los Angeles, USA"
100 Thieves,Americas,VCT Americas 2025,United States,Partner,"Los Angeles, USA"
LOUD,Americas,VCT Americas 2025,Brazil,Partner,"Los Angeles, USA"
FURIA Esports,Americas,VCT Americas 2025,Brazil,Partner,"Los Angeles, USA"
Evil Geniuses,Americas,VCT Americas 2025,United States,Partner,"Los Angeles, USA"
Leviatan,Americas,VCT Americas 2025,Chile,Partner,"Los Angeles, USA"
KRU Esports,Americas,VCT Americas 2025,Argentina,Partner,"Los Angeles, USA"
G2 Esports,Americas,VCT Americas 2025,Germany,Partner,"Los Angeles, USA"
The Guard,Americas,VCT Americas 2025,United States,Ascension 2023,"Los Angeles, USA"
2GAME Esports,Americas,VCT Americas 2025,Brazil,Ascension 2024,"Los Angeles, USA"
Team Liquid,EMEA,VCT EMEA 2025,Netherlands,Partner,"Berlin, Germany"
Natus Vincere,EMEA,VCT EMEA 2025,Ukraine,Partner,"Berlin, Germany"
Fnatic,EMEA,VCT EMEA 2025,United Kingdom,Partner,"Berlin, Germany"
Team Vitality,EMEA,VCT EMEA 2025,France,Partner,"Berlin, Germany"
Team Heretics,EMEA,VCT EMEA 2025,Spain,Partner,"Berlin, Germany"
FUT Esports,EMEA,VCT EMEA 2025,Turkey,Partner,"Berlin, Germany"
BBL Esports,EMEA,VCT EMEA 2025,Turkey,Partner,"Berlin, Germany"
GIANTX,EMEA,VCT EMEA 2025,Spain,Partner,"Berlin, Germany"
KOI,EMEA,VCT EMEA 2025,Spain,Partner,"Berlin, Germany"
Karmine Corp,EMEA,VCT EMEA 2025,France,Partner,"Berlin, Germany"
Gentle Mates,EMEA,VCT EMEA 2025,France,Ascension 2023,"Berlin, Germany"
Apeks,EMEA,VCT EMEA 2025,Norway,Ascension 2024,"Berlin, Germany"
Paper Rex,Pacific,VCT Pacific 2025,Singapore,Partner,"Seoul, South Korea"
T1,Pacific,VCT Pacific 2025,South Korea,Partner,"Seoul, South Korea"
DRX,Pacific,VCT Pacific 2025,South Korea,Partner,"Seoul, South Korea"
Gen.G Esports,Pacific,VCT Pacific 2025,South Korea,Partner,"Seoul, South Korea"
Global Esports,Pacific,VCT Pacific 2025,India,Partner,"Seoul, South Korea"
Rex Regum Qeon,Pacific,VCT Pacific 2025,Indonesia,Partner,"Seoul, South Korea"
TALON Esports,Pacific,VCT Pacific 2025,Thailand,Partner,"Seoul, South Korea"
ZETA DIVISION,Pacific,VCT Pacific 2025,Japan,Partner,"Seoul, South Korea"
Team Secret,Pacific,VCT Pacific 2025,Philippines,Partner,"Seoul, South Korea"
DetonatioN FocusMe,Pacific,VCT Pacific 2025,Japan,Partner,"Seoul, South Korea"
BOOM Esports,Pacific,VCT Pacific 2025,Indonesia,Ascension 2024 Runner-up,"Seoul, South Korea"
Nongshim RedForce,Pacific,VCT Pacific 2025,South Korea,Ascension 2024,"Seoul, South Korea"
Edward Gaming,China,VCT China 2025,China,Partner,"Shanghai, China"
Bilibili Gaming,China,VCT China 2025,China,Partner,"Shanghai, China"
FunPlus Phoenix,China,VCT China 2025,China,Partner,"Shanghai, China"
Dragon Ranger Gaming,China,VCT China 2025,China,Partner,"Shanghai, China"
Wolves Esports,China,VCT China 2025,China,Partner,"Shanghai, China"
Rare Atom,China,VCT China 2025,China,Partner,"Shanghai, China"
Nova Esports,China,VCT China 2025,China,Partner,"Shanghai, China"
TYLOO,China,VCT China 2025,China,Partner,"Shanghai, China"
All Gamers,China,VCT China 2025,China,Partner,"Shanghai, China"
Attacking Soul Esports,China,VCT China 2025,China,Partner,"Shanghai, China"
Team SMG,China,VCT China 2025,China,Ascension 2023,"Shanghai, China"
XLG Esports,China,VCT China 2025,China,Ascension 2024,"Shanghai, China"
